name,country,protection,area_km2,fishing_hours_100km2,lon,lat
Catarman Marine Sanctuary,Philippines,fully-protected,0.02,0.0,124.0084,10.3941
Poblacion (Liloan Municipality) Marine Sanctuary,Philippines,fully-protected,0.15,0.0,124.0046,10.4045
Binlod Marine Sanctuary,Philippines,fully-protected,0.12,0.0,123.6108,9.91
Poblacion (Argao Municipality) Marine Sanctuary,Philippines,fully-protected,0.11,0.0,124.0046,10.4045
Sumilon Island Fish Sanctuary,Philippines,fully-protected,0.02,0.0,123.3862,9.4318
Pamilacan Island Fish Sanctuary,Philippines,fully-protected,0.3,0.0,123.9141,9.4935
Angaur Permanent Protected Area,Palau,highly-protected,1.09,0.0,134.1211,6.8949
Ngemelis Island Complex,Palau,fully-protected,38.59,0.0,134.2419,7.1241
Ängsö,Sweden,highly-protected,1.18,0.0,166.8246,-46.0064
Baie Ternay Marine National Park,Seychelles,fully-protected,0.78,0.0,55.3737,-4.6381
Port  Launay Marine National Park,Seychelles,fully-protected,1.39,0.0,55.389,-4.6513
Aldabra Atoll,Seychelles,fully-protected,267.37,0.0,46.3699,-9.4112
Columbus Landfall Marine National Park,Turks and Caicos Islands,highly-protected,4.9,0.0,-71.1446,21.4646
Chumbe Island Coral Park,United Republic of Tanzania,fully-protected,0.52,0.0,39.1757,-6.2773
Helderberg Marine Protected Area,South Africa,fully-protected,2.4,0.0,18.7869,-34.0927
Hopkins Marine Life Refuge & Lovers Point-Julia Platt State Marine Reserve,United States of America,fully-protected,0.71,228.3139,-121.9056,36.6225
Del Mar Landing State Marine Reserve,United States of America,fully-protected,0.48,0.0,-123.5133,38.7409
Estero de Limantour State Marine Reserve,United States of America,fully-protected,2.79,0.0,-122.9197,38.0407
Double Point/Stormy Stack Rock Special Closure,United States of America,fully-protected,0.06,0.0,-122.7858,37.9473
Egg (Devil's Slide) Rock to Devil's Slide Special Closure,United States of America,fully-protected,0.1,0.0,-122.5194,37.5772
North Farallon Islands Special Closure,United States of America,highly-protected,0.55,16.4071,-123.1045,37.769
Stewarts Point State Marine Conservation Area,United States of America,highly-protected,2.13,0.0,-123.4299,38.6342
Ahihi-Kinau Natural Area Reserve,United States of America,fully-protected,2.93,0.0,-156.4275,20.6061
Waikiki Marine Life Conservation District,United States of America,fully-protected,0.27,0.0,-157.8252,21.2678
Hanauma Bay Marine Life Conservation District,United States of America,fully-protected,0.27,0.0,-157.6932,21.2682
Rose Atoll Marine National Monument,US Minor Is.,highly-protected,35005.12,0.121,-168.1557,-14.545
Pacific Remote Islands Marine National Monument & Johnston Island National Wildlife Refuge & Palmyra Atoll National Wildlife Refuge,US Minor Is.,highly-protected,1267807.83,0.0061,-6.4153,9.3603
Rose Atoll National Wildlife Refuge,US Minor Is.,fully-protected,158.52,0.0,-168.1557,-14.545
Cape Falcon Shoreside Marine Protected Area,United States of America,highly-protected,0.59,0.0,-123.9982,45.7667
Canal Luis Peña Natural Reserve,Puerto Rico,fully-protected,5.9,0.0,-65.3279,18.315
Brackett's Landing Shoreline Sanctuary Conservation Area,United States of America,fully-protected,0.17,0.0,-122.381,47.8152
Octopus Hole Conservation Area,United States of America,fully-protected,0.11,0.0,-123.1122,47.4478
Orchard Rocks Conservation Area,United States of America,fully-protected,0.42,23.4949,-122.532,47.5775
Waketickeh Creek Conservation Area,United States of America,fully-protected,0.57,0.0,-123.0154,47.561
